track_uri,track_name,artist_uri,album_uri,playlist_uri,duration_ms,preview_url,popularity,added_at,added_by,,date,time,added_at
7a5TsU5Nw3VPrR1HH7mHJN,ETA,3hOdow4ZPmrby7Q1wfPLEy,1eLp5qe0nJkOb3rzqnbme0,5SeRMB2OnaHc37NcNA9mEs,163333,https://p.scdn.co/mp3-preview/b7ca9a61b98fdd3dffce7f7af84e178e83ccaa7d?cid=9950ac751e34487dbbe027c4fd7f8e99,60,2022-01-23 20:28:00,uimrhx0o9b31xw9ccq37mho31,,2022-01-23,20:28:00,2022-01-23
1S9nEzVGgS8QkOC1sWYvHx,WHEN THE LIGHTS GO OUT,3hOdow4ZPmrby7Q1wfPLEy,1eLp5qe0nJkOb3rzqnbme0,5SeRMB2OnaHc37NcNA9mEs,176489,https://p.scdn.co/mp3-preview/3b0c70f909163267e3dc3836359b47eb02af8e20?cid=9950ac751e34487dbbe027c4fd7f8e99,57,2022-01-23 20:28:00,uimrhx0o9b31xw9ccq37mho31,,2022-01-23,20:28:00,2022-01-23
1ugQtcwmKOXvKAYzhjncmv,Half A Man,3QSQFmccmX81fWCUSPTS7y,61G7KL6rpj167r6H4CzS8C,5SeRMB2OnaHc37NcNA9mEs,179120,https://p.scdn.co/mp3-preview/b26d8a4669bdb3a1185018e93e107eb514828dac?cid=9950ac751e34487dbbe027c4fd7f8e99,77,2022-01-23 20:29:00,uimrhx0o9b31xw9ccq37mho31,,2022-01-23,20:29:00,2022-01-23
2smpiAZfaN0GFi15MqAq6E,Stay Awake,3QSQFmccmX81fWCUSPTS7y,61G7KL6rpj167r6H4CzS8C,5SeRMB2OnaHc37NcNA9mEs,185400,https://p.scdn.co/mp3-preview/6940dd5d13da85e475e4cc0bca13a28eb9d78cdf?cid=9950ac751e34487dbbe027c4fd7f8e99,64,2022-01-23 20:29:00,uimrhx0o9b31xw9ccq37mho31,,2022-01-23,20:29:00,2022-01-23
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,4GNC7GD6oZMSxPGyXy4MNB,5658aM19fA3JVwTK6eQX70,5SeRMB2OnaHc37NcNA9mEs,182160,https://p.scdn.co/mp3-preview/766ff3dba2d64b22de6c947cb08c75a6ff633612?cid=9950ac751e34487dbbe027c4fd7f8e99,88,2022-01-23 20:29:00,uimrhx0o9b31xw9ccq37mho31,,2022-01-23,20:29:00,2022-01-23
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,4IWBUUAFIplrNtaOHcJPRM,7oiJYvEJHsmYtrgviAVIBD,5SeRMB2OnaHc37NcNA9mEs,211466,https://p.scdn.co/mp3-preview/00825cb1779b31d68964eda6f2a7911fc2ae96c6?cid=9950ac751e34487dbbe027c4fd7f8e99,86,2022-01-23 20:29:00,uimrhx0o9b31xw9ccq37mho31,,2022-01-23,20:29:00,2022-01-23
4sWuPniHClkInYAnzXAYUF,Camelot,0ErzCpIMyLcjPiwT4elrtZ,5tdGgaiW18D6bjHFLhtblL,5SeRMB2OnaHc37NcNA9mEs,148759,https://p.scdn.co/mp3-preview/1b4cc9e380e6999e94f140564ef363154044caec?cid=9950ac751e34487dbbe027c4fd7f8e99,73,2022-01-24 02:05:00,223mwd6sfdnygrixhn72iaexi,,2022-01-24,02:05:00,2022-01-24
2MSgFefjK0T7Iwjvr3OKqV,Chopin: Nocturne No. 20 in C-Sharp Minor Op. Posth.,7y97mc3bZRFXzT2szRM4L4,3hW1TEeZRJ01XycQFABjj9,37i9dQZF1DX99gNWyxQ2OR,259493,https://p.scdn.co/mp3-preview/bc2e0802bbe54e5a8be0f93e5dac70345d55522f?cid=9950ac751e34487dbbe027c4fd7f8e99,66,2020-11-02 13:13:00,,,2020-11-02,13:13:00,2020-11-02
1sy5fd8zcgitoStD1MhyAx,Chopin: Nocturne No. 3 in B Major Op. 9 No. 3,7y97mc3bZRFXzT2szRM4L4,7kGObwwRrq6pgj9MwSu4Qx,37i9dQZF1DX99gNWyxQ2OR,380746,https://p.scdn.co/mp3-preview/0b8df724b49e098f1ca444c179f63f52f9508399?cid=9950ac751e34487dbbe027c4fd7f8e99,43,2020-11-02 13:13:00,,,2020-11-02,13:13:00,2020-11-02
64LTn5fTsPR0QLy7bVYl9w,Nocturne No. 19 in E Minor Op. 72 No. 1,7y97mc3bZRFXzT2szRM4L4,5MyejkHGSoo5IfTum4VMiw,37i9dQZF1DX99gNWyxQ2OR,241986,https://p.scdn.co/mp3-preview/41affeacfd48046c92af6708a3b5bb94cac00021?cid=9950ac751e34487dbbe027c4fd7f8e99,60,2020-11-02 13:13:00,,,2020-11-02,13:13:00,2020-11-02
3oriraGUD3nlYIJfqINnE4,Nocturne in F-Sharp Major Op.15 No.2,7y97mc3bZRFXzT2szRM4L4,5GogZxTGjrQ72jGSpXLLt9,37i9dQZF1DX99gNWyxQ2OR,229000,https://p.scdn.co/mp3-preview/a04e5867a7c2b278887ffbb3339d2fb968bffe0a?cid=9950ac751e34487dbbe027c4fd7f8e99,42,2020-11-02 13:13:00,,,2020-11-02,13:13:00,2020-11-02
503fwzlbWHx5g0CqlU9Giu,Nocturne No.2 In E Flat Op.9 No.2,7y97mc3bZRFXzT2szRM4L4,2aoSpTAjFaMvaZeruqnCVv,37i9dQZF1DX99gNWyxQ2OR,242586,https://p.scdn.co/mp3-preview/0667d63bd0e7c7b6f22deac19e393a7e9534de1c?cid=9950ac751e34487dbbe027c4fd7f8e99,51,2020-11-02 13:13:00,,,2020-11-02,13:13:00,2020-11-02
7v5GzMLLBOwz39uUn8UeYr,Nocturne in D-Flat Major Op. 27 No. 2,7y97mc3bZRFXzT2szRM4L4,7k54RTWZdOVQqMR5torR0n,37i9dQZF1DX99gNWyxQ2OR,352452,https://p.scdn.co/mp3-preview/5b411fef666f3ea13e9091704dc103b6a6fd64f7?cid=9950ac751e34487dbbe027c4fd7f8e99,41,2020-11-02 13:13:00,,,2020-11-02,13:13:00,2020-11-02
